Hail therefore, O mistresses!	χαίρετε τοίνυν ὦ δέσποιναι·
Who is it that compels them to borne along? Is it not Jupiter?	ὁ δʼ ἀναγκάζων ἐστὶ τίς αὐτάς, οὐχ ὁ Ζεύς, ὥστε φέρεσθαι;
By no means, but aethereal Vortex.	ἥκιστʼ ἀλλʼ αἰθέριος Δῖνος.
Vortex?	Δῖνος;
It had escaped my notice that Jupiter did not exist, and that Vortex now reigned in his stead.	τουτί μʼ ἐλελήθειν, ὁ Ζεὺς οὐκ ὤν, ἀλλʼ ἀντʼ αὐτοῦ Δῖνος νυνὶ βασιλεύων.
But you have taught me nothing as yet concerning the clap and the thunder.	ἀτὰρ οὐδέν πω περὶ τοῦ πατάγου καὶ τῆς βροντῆς μʼ ἐδίδαξας.
Have you not heard me, that I said that the Clouds, when full of moisture, dash against each other and clap by reason of their density?	οὐκ ἤκουσάς μου τὰς Νεφέλας ὕδατος μεστὰς ὅτι φημὶ ἐμπιπτούσας εἰς ἀλλήλας παταγεῖν διὰ τὴν πυκνότητα;
Come, how am I to believe this?	φέρε τουτὶ τῷ χρὴ πιστεύειν;
I'll teach you from your own case.	ἀπὸ σαυτοῦ ʼγώ σε διδάξω.
Were you ever, after being stuffed with broth at the Panathenaic festival, then disturbed in your belly, and did a tumult suddenly rumble through it?	ἤδη ζωμοῦ Παναθηναίοις ἐμπλησθεὶς εἶτʼ ἐταράχθης τὴν γαστέρα, καὶ κλόνος ἐξαίφνης αὐτὴν διεκορκορύγησεν;
Yes, by Apollo! And immediately the little broth plays the mischief with me, and is disturbed and rumbles like thunder, and grumbles dreadfully: at first gently pappax, pappax; and then it adds papa-pappax; and finally, it thunders downright papapappax, as they do.	νὴ τὸν Ἀπόλλω καὶ δεινὰ ποιεῖ γʼ εὐθύς μοι, καὶ τετάρακται χὤσπερ βροντὴ τὸ ζωμίδιον παταγεῖ καὶ δεινὰ κέκραγεν· ἀτρέμας πρῶτον παππὰξ παππάξ, κἄπειτʼ ἐπάγει παπαπαππάξ, χὤταν χέζω, κομιδῇ βροντᾷ παπαπαππὰξ ὥσπερ ἐκεῖναι.
