english	greek
Now, when Theseus left the land of Cecrops,	ἐπεὶ δὲ Θησεὺς Κεκροπίαν λείπει χθόνα,
flying the pollution of the blood of Pallas’ sons, and with his wife sailed to this shore, content to suffer exile for a year, then began the wretched wife to pine away in silence, moaning ’neath love’s cruel scourge,	μίασμα φεύγων αἵματος Παλλαντιδῶν, καὶ τήνδε σὺν δάμαρτι ναυστολεῖ χθόνα, ἐνιαυσίαν ἔκδημον αἰνέσας φυγήν, ἐνταῦθα δὴ στένουσα κἀκπεπληγμένη κέντροις ἔρωτος ἡ τάλαιν’ ἀπόλλυται
and none of her servants knows what ails her. But this passion of hers must not fail thus. No, I will discover the matter to Theseus, and all shall be laid bare. Then will the father slay his child, my bitter foe, by curses,	σιγῇ· ξύνοιδε δ’ οὔτις οἰκετῶν νόσον. ἀλλ’ οὔτι ταύτῃ τόνδ’ ἔρωτα χρὴ πεσεῖν· δείξω δὲ Θησεῖ πρᾶγμα , κἀκφανήσεται. καὶ τὸν μὲν ἡμῖν πολέμιον νεανίαν κτενεῖ πατὴρ ἀραῖσιν, ἃς ὁ πόντιος
for the lord Poseidon granted this boon to Theseus; three wishes of the god to ask, nor ever ask in vain. So Phaedra is to die, an honoured death ’tis true, but still to die; for I will not let her suffering outweigh the payment of such forfeit by my foes	ἄναξ Ποσειδῶν ὤπασεν Θησεῖ γέρας, μηδὲν μάταιον ἐς τρὶς εὔξασθαι θεῷ. ἣ δ’ εὐκλεὴς μέν, ἀλλ’ ὅμως ἀπόλλυται, Φαίδρα· τὸ γὰρ τῆσδ’ οὐ προτιμήσω κακὸν τὸ μὴ οὐ παρασχεῖν τοὺς ἐμοὺς ἐχθροὺς ἐμοὶ
as shall satisfy my honour.	δίκην τοσαύτην ὥστ’ ἐμοὶ καλῶς ἔχειν.
But lo! I see the son of Theseus coming hither—Hippolytus, fresh from the labours of the chase. I will get me hence. At his back follows a long train	ἀλλ’, εἰσορῶ γὰρ τόνδε παῖδα Θησέως στείχοντα, θήρας μόχθον ἐκλελοιπότα, Ἱππόλυτον, ἔξω τῶνδε βήσομαι τόπων. πολὺς δ’ ἅμ’ αὐτῷ προσπόλων ὀπισθόπους
of retainers, in joyous cries of revelry uniting and hymns of praise to Artemis, his goddess; for little he recks that Death hath oped his gates for him, and that this is his last look upon the light.	κῶμος λέλακεν, Ἄρτεμιν τιμῶν θεὰν ὕμνοισιν· οὐ γὰρ οἶδ’ ἀνεῳγμένας πύλας Ἅιδου, φάος δὲ λοίσθιον βλέπων τόδε.
Come follow, friends, singing to Artemis, daughter of Zeus, throned in the sky,	ἕπεσθ’ ἀείδοντες ἕπεσθε τὰν Διὸς οὐρανίαν
whose votaries we are.	Ἄρτεμιν, ᾇ μελόμεσθα.
Lady goddess, awful queen, daughter of Zeus, all hail! hail! child of	πότνια πότνια σεμνοτάτα, Ζανὸς γένεθλον, χαῖρε, χαῖρέ μοι, ὦ κόρα
Latona and of Zeus, peerless mid the virgin choir, who hast thy dwelling in heaven’s wide mansions at thy noble father’s court, in the golden house of Zeus.	Λατοῦς Ἄρτεμι καὶ Διός, καλλίστα πολὺ παρθένων, ἃ μέγαν κατ’ οὐρανὸν ναίεις εὐπατέρειαν αὐ- λάν, Ζηνὸς πολύχρυσον οἶκον.
All hail! most beauteous Artemis, lovelier far than all the daughters of Olympus!	χαῖρέ μοι, ὦ καλλίστα καλ- λίστα τῶν κατ’ Ὄλυμπον.
For thee, O mistress mine, I bring this woven wreath, culled from a virgin meadow,	σοὶ τόνδε πλεκτὸν στέφανον ἐξ ἀκηράτου λειμῶνος, ὦ δέσποινα, κοσμήσας φέρω,
where nor shepherd dares to herd his flock nor ever scythe hath mown, but o’er the mead unshorn the bee doth wing its way in spring; and with the dew from rivers drawn purity that garden tends. Such as know no cunning lore, yet in whose nature	ἔνθ’ οὔτε ποιμὴν ἀξιοῖ φέρβειν βοτὰ οὔτ’ ἦλθέ πω σίδαρος, ἀλλ’ ἀκήρατον μέλισσα λειμῶν’ ἠρινὴ διέρχεται, Αἰδὼς δὲ ποταμίαισι κηπεύει δρόσοις· ὅσοις διδακτὸν μηδέν, ἀλλ’ ἐν τῇ φύσει
self-control, made perfect, hath a home, these may pluck the flowers, but not the wicked world. Accept, I pray, dear mistress, mine this chaplet from my holy hand to crown thy locks of gold; for I, and none other of mortals, have this high guerdon,	τὸ σωφρονεῖν εἴληχεν ἐς τὰ πάνθ’ ὁμῶς, τούτοις δρέπεσθαι, τοῖς κακοῖσι δ’ οὐ θέμις. ἀλλ’, ὦ φίλη δέσποινα, χρυσέας κόμης ἀνάδημα δέξαι χειρὸς εὐσεβοῦς ἄπο. μόνῳ γάρ ἐστι τοῦτ’ ἐμοὶ γέρας βροτῶν·
to be with thee, with thee converse, hearing thy voice, though not thy face beholding. So be it mine to end my life as I began.	σοὶ καὶ ξύνειμι καὶ λόγοις ἀμείβομαι, κλύων μὲν αὐδήν, ὄμμα δ’ οὐχ ὁρῶν τὸ σόν. τέλος δὲ κάμψαιμ’ ὥσπερ ἠρξάμην βίου.
My prince! we needs must call upon the gods, our lords, so wilt thou listen to a friendly word from me?	ἄναξ — θεοὺς γὰρ δεσπότας καλεῖν χρεών — ἆρ’ ἄν τί μου δέξαιο βουλεύσαντος εὖ;
Why, that will I! else were I proved a fool.	καὶ κάρτα γ’· ἦ γὰρ οὐ σοφοὶ φαινοίμεθ’ ἄν.
Dost know, then, the way of the world?	οἶσθ’ οὖν βροτοῖσιν ὃς καθέστηκεν νόμος
Not I; but wherefore such a question?	οὐκ οἶδα· τοῦ δὲ καί μ’ ἀνιστορεῖς πέρι;
It hates reserve which careth not for all men’s love.	μισεῖν τὸ σεμνὸν καὶ τὸ μὴ πᾶσιν φίλον.
And rightly too; reserve in man is ever galling.	ὀρθῶς γε· τίς δ’ οὐ σεμνὸς ἀχθεινὸς βροτῶν;
But there’s a charm in courteous affability?	ἐν δ’ εὐπροσηγόροισιν ἔστι τις χάρις;
The greatest surely; aye, and profit, too, at trifling cost.	πλείστη γε, καὶ κέρδος γε σὺν μόχθῳ βραχεῖ.
Dost think the same law holds in heaven as well?	ἦ κἀν θεοῖσι ταὐτὸν ἐλπίζεις τόδε;
I trow it doth, since all our laws we men from heaven draw.	εἴπερ γε θνητοὶ θεῶν νόμοισι χρώμεθα.
Why, then, dost thou neglect to greet an august goddess?	πῶς οὖν σὺ σεμνός, δαίμον’ οὐ προσεννέπων
Whom speak’st thou of? Keep watch upon thy tongue lest it some mischief cause.	τίν’; εὐλαβοῦ δὲ μή τί σου σφαλῇ στόμα.
Cypris I mean, whose image is stationed o’er thy gate.	τήνδ’, ἣ πύλαισι σαῖς ἐφέστηκεν Κύπρις.
I greet her from afar, preserving still my chastity.	πρόσωθεν αὐτὴν ἁγνὸς ὢν ἀσπάζομαι.
Yet is she an august goddess, far renowned on earth. 	σεμνός γε μέντοι κἀπίσημος ἐν βροτοῖς.
’Mongst gods as well as men we have our several preferences.	ἄλλοισιν ἄλλος θεῶν τε κἀνθρώπων μέλει.
I wish thee luck, and wisdom too, so far as thou dost need it.	εὐδαιμονοίης νοῦν ἔχων ὅσον σε δεῖ.
No god, whose worship craves the night, hath charms for me.	οὐδείς μ’ ἀρέσκει νυκτὶ θαυμαστὸς θεῶν.
My son, we should avail us of the gifts that gods confer.	τιμαῖσιν, ὦ παῖ, δαιμόνων χρῆσθαι χρεών.
Go in, my faithful followers, and make ready food within the house; a well-filled board hath charms after the chase is o’er.	χωρεῖτ’, ὀπαδοί, καὶ παρελθόντες δόμους σίτων μέλεσθε· τερπνὸν ἐκ κυναγίας
Rub down my steeds ye must, that when I have had my all I may yoke them to the chariot and give them proper exercise.	τράπεζα πλήρης· καὶ καταψήχειν χρεὼν ἵππους, ὅπως ἂν ἅρμασιν ζεύξας ὕπο βορᾶς κορεσθεὶς γυμνάσω τὰ πρόσφορα.
As for thy Queen of Love, a long farewell to her.	τὴν σὴν δὲ Κύπριν πόλλ’ ἐγὼ χαίρειν λέγω.
Meantime I with sober mind, for I must not copy my young master,	ἡμεῖς δέ — τοὺς νέους γὰρ οὐ μιμητέον,
do offer up my prayer to thy image, lady Cypris, in such words as it becomes a slave to use. But thou should’st pardon all, who, in youth’s impetuous heat, speak idle words of thee; make as though thou hearest not,	φρονοῦντας οὕτως — ὡς πρέπει δούλοις λέγειν, προσευξόμεσθα τοῖσι σοῖς ἀγάλμασιν, δέσποινα Κύπρι. χρὴ δὲ συγγνώμην ἔχειν, εἴ τίς σ’ ὑφ’ ἥβης σπλάγχνον ἔντονον φέρων μάταια βάζει· μὴ δόκει τούτων κλύειν·
for gods must needs be wiser than the sons of men.	σοφωτέρους γὰρ χρὴ βροτῶν εἶναι θεούς.
A rock there is, where, as they say, the ocean dew distils, and from its beetling brow it pours a copious stream for pitchers to be dipped therein;	Ὠκεανοῦ τις ὕδωρ στάζουσα πέτρα λέγεται, βαπτὰν κάλπισι ῥυτὰν πα- γὰν προιεῖσα κρημνῶν·
’twas here I had a friend washing robes of purple in the trickling stream, and she was spreading them out on the face of a warm sunny rock; from her	ὅθι μοί τις ἦν φίλα πορφύρεα φάρεα ποταμίᾳ δρόσῳ τέγγουσα, θερ- μᾶς δ’ ἐπὶ νῶτα πέτρας εὐ- αλίου κατέβαλλ’· ὅθεν
I had the tidings, first of all, that my mistress	μοι πρώτα φάτις ἦλθε δεσποίνας·
she was wasting on the bed of sickness, pent within her house, a thin veil o’ershadowing her head of golden hair.	τειρομέναν νοσερᾷ κοίτᾳ δέμας ἐντὸς ἔχειν οἴκων, λεπτὰ δὲ φάρη ξάν- θαν κεφαλὰν σκιάζειν·
And this is the third day I hear that she hath closed her lovely lips and denied her chaste body all sustenance, eager to hide her suffering	τριτάταν δέ νιν κλύω τάνδ’ ἀβρωσίᾳ στόματος ἁμέραν Δάματρος ἀ- κτᾶς δέμας ἁγνὸν ἴσχειν, κρυ- πτῷ πένθει θανάτου θέλου-
and reach death’s cheerless bourn.	σαν κέλσαι ποτὶ τέρμα δύστανον.
Maiden, thou must be possessed, by Pan made frantic or by Hecate, or by the Corybantes dread, and Cybele the mountain mother.	— ἦ σὺ γ’ ἔνθεος, ὦ κούρα, εἴτ’ ἐκ Πανὸς εἴθ’ Ἑκάτας ἢ σεμνῶν Κορυβάντων φοι- τᾷς ἢ ματρὸς ὀρείας;
Or maybe thou hast sinned against Dictynna, huntress-queen, and art wasting for thy guilt in sacrifice unoffered. For she doth range o’er lakes’ expanse and past the bounds of earth	— σὺ δ’ ἀμφὶ τὰν πολύθηρον Δί- κτυνναν ἀμπλακίαις ἀνίε- ρος ἀθύτων πελάνων τρύχῃ; φοιτᾷ γὰρ καὶ διὰ λίμνας χέρσον θ’ ὑπὲρ πελάγους
upon the ocean’s tossing billows.	δίναις ἐν νοτίαις ἅλμας.
Or doth some rival in thy house beguile thy lord, the captain of Erechtheus’ sons, that hero nobly bom, to secret amours hid from thee?	— ἢ πόσιν, τὸν Ἐρεχθειδᾶν ἀρχαγόν, τὸν εὐπατρίδαν, ποιμαίνει τις ἐν οἴκοις κρυ- πτὰ κοίτα λεχέων σῶν;
Or hath some mariner sailing hither from Crete reached this port that sailors love, with evil tidings for our queen, and she with sorrow for her grievous fate	— ἢ ναυβάτας τις ἔπλευσεν Κρή- τας ἔξορμος ἀνὴρ λιμένα τὸν εὐξεινότατον ναύταις, φήμαν πέμπων βασιλείᾳ, λύπᾳ δ’ ὑπὲρ παθέων
is to her bed confined?	εὐναία δέδεται ψυχά;
Yea, and oft o’er woman’s wayward nature settles a feeling of miserable perplexity, arising from labour-pains or passionate desire.	— φιλεῖ δὲ τᾷ δυστρόπῳ γυναικῶν ἁρμονίᾳ κακὰ δύστανος ἀμηχανία συνοικεῖν, ὠδινῶν τε καὶ ἀφροσύνας.
I, too, have felt at times this sharp thrill shoot through me, but I would cry to Artemis, queen of archery, who comes from heaven to aid us in our travail, and thanks to heaven’s grace she ever comes at my call with welcome help.	δι’ ἐμᾶς ᾖξέν ποτε νηδύος ἅδ’ αὔρα. τὰν δ’ εὔλοχον οὐρανίαν τόξων μεδέουσαν ἀύτευν Ἄρτεμιν, καί μοι πολυζήλωτος αἰεὶ σὺν θεοῖσι φοιτᾷ.
Look! where the aged nurse is bringing her forth from the house before the door, while on her brow the cloud of gloom is deepening. My soul longs to learn what is her grief, the canker that is	— ἀλλ’ ἥδε τροφὸς γεραιὰ πρὸ θυρῶν τήνδε κομίζουσ’ ἔξω μελάθρων· τί ποτ’ ἔστι μαθεῖν ἔραται ψυχή, τί δεδήληται
wasting our queen’s fading charms.	δέμας ἀλλόχροον βασιλείας.
O, the ills of mortal men! the cruel diseases they endure! What can I do for thee? from what refrain? Here is the bright sun-light, here the azure sky; lo! we have brought thee on thy bed of sickness	ὦ κακὰ θνητῶν στυγεραί τε νόσοι. τί σ’ ἐγὼ δράσω; τί δὲ μὴ δράσω; τόδε σοι φέγγος λαμπρόν, ὅδ’ αἰθήρ· ἔξω δὲ δόμων ἤδη νοσερᾶς
without the palace; for all thy talk was of coming hither, but soon back to thy chamber wilt thou hurry. Disappointment follows fast with thee, thou hast no joy in aught for long; the present has no power to please; on something absent	δέμνια κοίτης. δεῦρο γὰρ ἐλθεῖν πᾶν ἔπος ἦν σοι· τάχα δ’ ἐς θαλάμους σπεύσεις τὸ πάλιν. ταχὺ γὰρ σφάλλῃ κοὐδενὶ χαίρεις, οὐδέ σ’ ἀρέσκει τὸ παρόν, τὸ δ’ ἀπὸν
next thy heart is set. Better be sick than tend the sick; the first is but a single ill, the last unites mental grief with manual toil. Man’s whole life is full of anguish;	φίλτερον ἡγῇ. κρεῖσσον δὲ νοσεῖν ἢ θεραπεύειν· τὸ μέν ἐστιν ἁπλοῦν, τῷ δὲ συνάπτει λύπη τε φρενῶν χερσίν τε πόνος. πᾶς δ’ ὀδυνηρὸς βίος ἀνθρώπων,
no respite from his woes he finds; but if there is aught to love beyond this life, night’s dark pall doth wrap it round. And so we show our mad love of this life because its light is shed on earth,	κοὐκ ἔστι πόνων ἀνάπαυσις. ἀλλ’ ὅ τι τοῦ ζῆν φίλτερον ἄλλο σκότος ἀμπίσχων κρύπτει νεφέλαις. τοῦ δ’ ὅ τι τοῦτο στίλβει κατὰ γῆν δυσέρωτες δὴ φαινόμεθ’ ὄντες,
and because we know no other, and have naught revealed to us of all our earth may hide; and trusting to fables we drift at random. 	δι’ ἀπειροσύνην ἄλλου βιότου κοὐκ ἀπόδειξιν τῶν ὑπὸ γαίας· μύθοις δ’ ἄλλως φερόμεσθα.
Lift my body, raise my head! My limbs are all unstrung, kind friends.	ἄρατέ μου δέμας, ὀρθοῦτε κάρα· λέλυμαι μελέων σύνδεσμα φίλων.
O handmaids, lift my arms, my shapely arms. The tire on my head is too heavy for me to wear; away with it, and let my tresses o’er my shoulders fall.	λάβετ’ εὐπήχεις χεῖρας, πρόπολοι. βαρύ μοι κεφαλᾶς ἐπίκρανον ἔχειν· ἄφελ’, ἀμπέτασον βόστρυχον ὤμοις.
Be of good heart, dear child; toss not so wildly to and fro.	θάρσει, τέκνον, καὶ μὴ χαλεπῶς μετάβαλλε δέμας.
Lie still, be brave, so wilt thou find thy sickness easier to bear; suffering for mortals is nature’s iron law.	ῥᾷον δὲ νόσον μετά θ’ ἡσυχίας καὶ γενναίου λήματος οἴσεις· μοχθεῖν δὲ βροτοῖσιν ἀνάγκη.
Ah! would I could draw a draught of water pure from some dew-fed spring, and lay me down to rest in the grassy meadow ’neath the poplar’s shade!	αἰαῖ· πῶς ἂν δροσερᾶς ἀπὸ κρηνῖδος καθαρῶν ὑδάτων πῶμ’ ἀρυσαίμαν, ὑπό τ’ αἰγείροις ἔν τε κομήτῃ λειμῶνι κλιθεῖσ’ ἀναπαυσαίμαν;
My child, what wild speech is this? O say not such things in public, wild whirling words of frenzy bred!	ὦ παῖ, τί θροεῖς; οὐ μὴ παρ’ ὄχλῳ τάδε γηρύσῃ μανίας ἔποχον ῥίπτουσα λόγον;
Away to the mountain take me! to the wood, to the pine-trees I will go, where hounds pursue the prey, hard on the scent of dappled fawns. Ye gods! what joy to hark them on,	πέμπετέ μ’ εἰς ὄρος· εἶμι πρὸς ὕλαν καὶ παρὰ πεύκας, ἵνα θηροφόνοι στείβουσι κύνες βαλιαῖς ἐλάφοις ἐγχριμπτόμεναι· πρὸς θεῶν, ἔραμαι κυσὶ θωΰξαι
to grasp the barbed dart, to poise Thessalian hunting-spears close to my golden hair, then let them fly.	καὶ παρὰ χαίταν ξανθὰν ῥῖψαι Θεσσαλὸν ὅρπακ’, ἐπίλογχον ἔχουσ’ ἐν χειρὶ βέλος.
Why, why, my child, these anxious cares? What hast thou to do with the chase?	τί ποτ’, ὦ τέκνον, τάδε κηραίνεις; τί κυνηγεσίων καὶ σοὶ μελέτη;
Why so eager for the flowing spring, when hard by these towers stands a hill well watered, whence thou may’st freely draw?	τί δὲ κρηναίων νασμῶν ἔρασαι; πάρα γὰρ δροσερὰ πύργοις συνεχὴς κλιτύς, ὅθεν σοι πῶμα γένοιτ’ ἄν.
O Artemis, who watchest o’er sea-beat Limna and the race-course thundering to the horse’s hoofs,	δέσποιν’ ἁλίας Ἄρτεμι Λίμνας καὶ γυμνασίων τῶν ἱπποκρότων,
would I were upon thy plains curbing Venetian steeds!	εἴθε γενοίμαν ἐν σοῖς δαπέδοις, πώλους Ἐνέτας δαμαλιζομένα.
Why betray thy frenzy in these wild whirling words? Now thou wert for hasting hence to the hills away to hunt wild beasts, and now	τί τόδ’ αὖ παράφρων ἔρριψας ἔπος; νῦν δὴ μὲν ὄρος βᾶσ’ ἐπὶ θήρας πόθον ἐστέλλου, νῦν δ’ αὖ ψαμάθοις
thy yearning is to drive the steed over the waveless sands. This needs a cunning seer to say what god it is that reins thee from the course, distracting thy senses, child.	ἐπ’ ἀκυμάντοις πώλων ἔρασαι. τάδε μαντείας ἄξια πολλῆς, ὅστις σε θεῶν ἀνασειράζει καὶ παρακόπτει φρένας, ὦ παῖ.
Ah me! alas! what have I done?	δύστηνος ἐγώ, τί ποτ’ εἰργασάμην;
Whither have I strayed, my senses leaving? Mad, mad! stricken by some demon’s curse! Woe is me! Cover my head again, nurse. Shame fills me for the words I have spoken.	ποῖ παρεπλάγχθην γνώμης ἀγαθῆς; ἐμάνην, ἔπεσον δαίμονος ἄτῃ. φεῦ φεῦ, τλήμων. μαῖα, πάλιν μου κρύψον κεφαλήν, αἰδούμεθα γὰρ τὰ λελεγμένα μοι.
Hide me then; from my eyes the tear-drops stream, and for very shame I turn them away. Tis painful coming to one’s senses again, and madness, evil though it be, has this advantage, that one has no knowledge of reason’s overthrow.	κρύπτε· κατ’ ὄσσων δάκρυ μοι βαίνει, καὶ ἐπ’ αἰσχύνην ὄμμα τέτραπται. τὸ γὰρ ὀρθοῦσθαι γνώμην ὀδυνᾷ· τὸ δὲ μαινόμενον κακόν· ἀλλὰ κρατεῖ μὴ γιγνώσκοντ’ ἀπολέσθαι.
There then I cover thee; but when will death hide my body in the grave? Many a lesson length of days is teaching me. Yea, mortal men should pledge themselves	κρύπτω· τὸ δ’ ἐμὸν πότε δὴ θάνατος σῶμα καλύψει; πολλὰ διδάσκει μ’ ὁ πολὺς βίοτος. χρῆν γὰρ μετρίας εἰς ἀλλήλους φιλίας θνητοὺς ἀνακίρνασθαι
to moderate friendships only, not to such as reach the very heart’s core; affection’s ties should be light upon them to let them slip or draw them tight. For one poor heart to grieve for twain, as I do	καὶ μὴ πρὸς ἄκρον μυελὸν ψυχῆς, εὔλυτα δ’ εἶναι στέργηθρα φρενῶν ἀπό τ’ ὤσασθαι καὶ ξυντεῖναι. τὸ δ’ ὑπὲρ δισσῶν μίαν ὠδίνειν ψυχὴν χαλεπὸν βάρος, ὡς κἀγὼ
for my mistress, is a burden sore to bear. Men say that too engrossing pursuits in life more oft cause disappointment than pleasure,	τῆσδ’ ὑπεραλγῶ. βιότου δ’ ἀτρεκεῖς ἐπιτηδεύσεις φασὶ σφάλλειν πλέον ἢ τέρπειν τῇ θ’ ὑγιείᾳ μᾶλλον πολεμεῖν. οὕτω τὸ λίαν ἧσσον ἐπαινῶ
and too oft are foes to health. Wherefore I do not praise excess so much as moderation, and with me wise men will agree.	τοῦ μηδὲν ἄγαν· καὶ ξυμφήσουσι σοφοί μοι.
O aged dame, faithful nurse of Phaedra, our queen, we see her sorry plight; but what it is that ails her we cannot discern,	γύναι γεραιά, βασιλίδος πιστὴ τροφὲ Φαίδρας, ὁρῶμεν τάσδε δυστήνους τύχας, ἄσημα δ’ ἡμῖν ἥτις ἐστὶν ἡ νόσος·
so fain would learn of thee and hear thy opinion.	σοῦ δ’ ἂν πυθέσθαι καὶ κλύειν βουλοίμεθ’ ἄν.
I question her, but am no wiser, for she will not answer.	οὐκ οἶδ’ ἐλέγχους· οὐ γὰρ ἐννέπειν θέλει.
Nor tell what source these sorrows have?	οὐδ’ ἥτις ἀρχὴ τῶνδε πημάτων ἔφυ;
The same answer thou must take, for she is dumb on every point.	ἐς ταὐτὸν ἥκεις· πάντα γὰρ σιγᾷ τάδε.
How weak and wasted is her body!	ὡς ἀσθενεῖ τε καὶ κατέξανται δέμας.
What marvel? ’tis three days now since she has tasted food.	πῶς δ’ οὔ, τριταίαν γ’ οὖσ’ ἄσιτος ἡμέραν;
Is this infatuation, or an attempt to die?	πότερον ὑπ’ ἄτης ἢ θανεῖν πειρωμένη;
’Tis death she courts; such fasting aims at ending life.	θανεῖν; ἀσιτεῖ γ’ εἰς ἀπόστασιν βίου.
A strange story! is her husband satisfied?	θαυμαστὸν εἶπας, εἰ τάδ’ ἐξαρκεῖ πόσει.
She hides from him her sorrow, and vows she is not ill. 	κρύπτει γὰρ ἥδε πῆμα κοὔ φησιν νοσεῖν.
Can he not guess it from her face?	ὃ δ’ ἐς πρόσωπον οὐ τεκμαίρεται βλέπων;
He is not now in his own country.	ἔκδημος ὢν γὰρ τῆσδε τυγχάνει χθονός.
But dost not thou insist in thy endeavour to find out her complaint, her crazy mind?	σὺ δ’ οὐκ ἀνάγκην προσφέρεις, πειρωμένη νόσον πυθέσθαι τῆσδε καὶ πλάνον φρενῶν;
I have tried every plan, and all in vain;	ἐς πάντ’ ἀφῖγμαι κοὐδὲν εἴργασμαι πλέον·
yet not even now will I relax my zeal, that thou too, if thou stayest, mayst witness my devotion to my unhappy mistress.	οὐ μὴν ἀνήσω γ’ οὐδὲ νῦν προθυμίας, ὡς ἂν παροῦσα καὶ σύ μοι ξυμμαρτυρῇς οἵα πέφυκα δυστυχοῦσι δεσπόταις.
Come, come, my darling child, let us forget, the twain of us, our former words; be thou more mild,	ἄγ’, ὦ φίλη παῖ, τῶν πάροιθε μὲν λόγων λαθώμεθ’ ἄμφω, καὶ σύ θ’ ἡδίων γενοῦ
smoothing that sullen brow and changing the current of thy thought, and I, if in aught before I failed in humouring thee, will let that be and find some better course. If thou art sick with ills thou canst not name, there be women here to help to set thee right;	στυγνὴν ὀφρὺν λύσασα καὶ γνώμης ὁδόν, ἐγώ θ’ ὅπῃ σοι μὴ καλῶς τόθ’ εἱπόμην μεθεῖσ’ ἐπ’ ἄλλον εἶμι βελτίω λόγον. κεἰ μὲν νοσεῖς τι τῶν ἀπορρήτων κακῶν, γυναῖκες αἵδε συγκαθιστάναι νόσον·
but if thy trouble can to men’s ears be divulged, speak, that physicians may pronounce on it.	εἰ δ’ ἔκφορός σοι συμφορὰ πρὸς ἄρσενας, λέγ’, ὡς ἰατροῖς πρᾶγμα μηνυθῇ τόδε.
Come, then, why so dumb? Thou shouldst not so remain, my child, but scold me if I speak amiss, or, if I give good counsel, yield assent.	εἶἑν· τί σιγᾷς; οὐκ ἐχρῆν σιγᾶν, τέκνον, ἀλλ’ ἤ μ’ ἐλέγχειν, εἴ τι μὴ καλῶς λέγω, ἢ τοῖσιν εὖ λεχθεῖσι συγχωρεῖν λόγοις.
