english	greek
His daughter it is that keeps back that wretched, sorrowing man; and ever with soft and wheedling words she beguiles him that he may forget Ithaca . But Odysseus, in his longing to see were it but the smoke leaping up from his own land, yearns to die. Yet thy	νήσῳ ἐν ἀμφιρύτῃ, ὅθι τʼ ὀμφαλός ἐστι θαλάσσης. νῆσος δενδρήεσσα, θεὰ δʼ ἐν δώματα ναίει, Ἄτλαντος θυγάτηρ ὀλοόφρονος, ὅς τε θαλάσσης πάσης βένθεα οἶδεν, ἔχει δέ τε κίονας αὐτὸς μακράς, αἳ γαῖάν τε καὶ οὐρανὸν ἀμφὶς ἔχουσιν.
heart doth not regard it, Olympian. Did not Odysseus beside the ships of the Argives offer thee sacrifice without stint in the broad land of Troy ? Wherefore then didst thou conceive such wrath against him, O Zeus?” Then Zeus, the cloud-gatherer, answered her and said: “My child, what a word has escaped the barrier of thy teeth?	τοῦ θυγάτηρ δύστηνον ὀδυρόμενον κατερύκει, αἰεὶ δὲ μαλακοῖσι καὶ αἱμυλίοισι λόγοισιν θέλγει, ὅπως Ἰθάκης ἐπιλήσεται· αὐτὰρ Ὀδυσσεύς, ἱέμενος καὶ καπνὸν ἀποθρῴσκοντα νοῆσαι ἧς γαίης, θανέειν ἱμείρεται. οὐδέ νυ σοί περ
 How should I, then, forget godlike Odysseus, who is beyond all mortals in wisdom, and beyond all has paid sacrifice to the immortal gods, who hold broad heaven? Nay, it is Poseidon, the earth-enfolder, who is ever filled with stubborn wrath because of the Cyclops, whom Odysseus blinded of his eye—	ἐντρέπεται φίλον ἦτορ, Ὀλύμπιε. οὔ νύ τʼ Ὀδυσσεὺς Ἀργείων παρὰ νηυσὶ χαρίζετο ἱερὰ ῥέζων Τροίῃ ἐν εὐρείῃ; τί νύ οἱ τόσον ὠδύσαο, Ζεῦ; τὴν δʼ ἀπαμειβόμενος προσέφη νεφεληγερέτα Ζεύς· τέκνον ἐμόν, ποῖόν σε ἔπος φύγεν ἕρκος ὀδόντων.
even the godlike Polyphemus, whose might is greatest among all the Cyclopes; and the nymph Thoosa bore him, daughter of Phorcys who rules over the unresting sea; for in the hollow caves she lay with Poseidon. From that time forth Poseidon, the earth-shaker,	πῶς ἂν ἔπειτʼ Ὀδυσῆος ἐγὼ θείοιο λαθοίμην, ὃς περὶ μὲν νόον ἐστὶ βροτῶν, περὶ δʼ ἱρὰ θεοῖσιν ἀθανάτοισιν ἔδωκε, τοὶ οὐρανὸν εὐρὺν ἔχουσιν; ἀλλὰ Ποσειδάων γαιήοχος ἀσκελὲς αἰεὶ Κύκλωπος κεχόλωται, ὃν ὀφθαλμοῦ ἀλάωσεν,
does not indeed slay Odysseus, but makes him a wanderer from his native land. But come, let us who are here all take thought of his return, that he may come home; and Poseidon will let go his anger, for he will in no wise be able, against all the immortal gods and in their despite, to contend alone.”	ἀντίθεον Πολύφημον, ὅου κράτος ἐστὶ μέγιστον πᾶσιν Κυκλώπεσσι· Θόωσα δέ μιν τέκε νύμφη, Φόρκυνος θυγάτηρ ἁλὸς ἀτρυγέτοιο μέδοντος, ἐν σπέσσι γλαφυροῖσι Ποσειδάωνι μιγεῖσα. ἐκ τοῦ δὴ Ὀδυσῆα Ποσειδάων ἐνοσίχθων
 Then the goddess, flashing-eyed Athena, answered him: “Father of us all, thou son of Cronos, high above all lords, if indeed this is now well pleasing to the blessed gods, that the wise Odysseus should return to his own home, let us send forth Hermes, the messenger, Argeiphontes,	οὔ τι κατακτείνει, πλάζει δʼ ἀπὸ πατρίδος αἴης. ἀλλʼ ἄγεθʼ, ἡμεῖς οἵδε περιφραζώμεθα πάντες νόστον, ὅπως ἔλθῃσι· Ποσειδάων δὲ μεθήσει ὃν χόλον· οὐ μὲν γάρ τι δυνήσεται ἀντία πάντων ἀθανάτων ἀέκητι θεῶν ἐριδαινέμεν οἶος.
to call to an assembly the long-haired Achaeans, and speak out his word to all the wooers, who are ever slaying his thronging sheep and his sleek kine of shambling gait. And I will guide him to Sparta and to sandy Pylos , to seek tidings of the return of his dear father, if haply he may hear of it,	τὸν δʼ ἠμείβετʼ ἔπειτα θεά, γλαυκῶπις Ἀθήνη· ὦ πάτερ ἡμέτερε Κρονίδη, ὕπατε κρειόντων, εἰ μὲν δὴ νῦν τοῦτο φίλον μακάρεσσι θεοῖσιν, νοστῆσαι Ὀδυσῆα πολύφρονα ὅνδε δόμονδε, Ἑρμείαν μὲν ἔπειτα διάκτορον ἀργεϊφόντην
that good report may be his among men.” So she spoke, and bound beneath her feet her beautiful sandals, immortal, golden, which were wont to bear her both over the waters of the sea and over the boundless land swift as the blasts of the wind. And she took her mighty spear, tipped with sharp bronze,	νῆσον ἐς Ὠγυγίην ὀτρύνομεν, ὄφρα τάχιστα νύμφῃ ἐυπλοκάμῳ εἴπῃ νημερτέα βουλήν, νόστον Ὀδυσσῆος ταλασίφρονος, ὥς κε νέηται· αὐτὰρ ἐγὼν Ἰθάκηνδʼ ἐσελεύσομαι, ὄφρα οἱ υἱὸν μᾶλλον ἐποτρύνω καί οἱ μένος ἐν φρεσὶ θείω,
heavy and huge and strong, wherewith she vanquishes the ranks of men—of warriors, with whom she is wroth, she, the daughter of the mighty sire. Then she went darting down from the heights of Olympus , and took her stand in the land of Ithaca at the outer gate of Odysseus, on the threshold of the court. In her hand she held the spear of bronze,	εἰς ἀγορὴν καλέσαντα κάρη κομόωντας Ἀχαιοὺς πᾶσι μνηστήρεσσιν ἀπειπέμεν, οἵ τέ οἱ αἰεὶ μῆλʼ ἁδινὰ σφάζουσι καὶ εἰλίποδας ἕλικας βοῦς. πέμψω δʼ ἐς Σπάρτην τε καὶ ἐς Πύλον ἠμαθόεντα νόστον πευσόμενον πατρὸς φίλου, ἤν που ἀκούσῃ,
and she was in the likeness of a stranger, Mentes, the leader of the Taphians. There she found the proud wooers. They were taking their pleasure at draughts in front of the doors, sitting on the hides of oxen which they themselves had slain; and of the heralds and busy squires,	ἠδʼ ἵνα μιν κλέος ἐσθλὸν ἐν ἀνθρώποισιν ἔχῃσιν. ὣς εἰποῦσʼ ὑπὸ ποσσὶν ἐδήσατο καλὰ πέδιλα, ἀμβρόσια χρύσεια, τά μιν φέρον ἠμὲν ἐφʼ ὑγρὴν ἠδʼ ἐπʼ ἀπείρονα γαῖαν ἅμα πνοιῇς ἀνέμοιο· εἵλετο δʼ ἄλκιμον ἔγχος, ἀκαχμένον ὀξέι χαλκῷ,
some were mixing wine and water for them in bowls, others again were washing the tables with porous sponges and setting them forth, while still others were portioning out meats in abundance. Her the godlike Telemachus was far the first to see, for he was sitting among the wooers, sad at heart,	βριθὺ μέγα στιβαρόν, τῷ δάμνησι στίχας ἀνδρῶν ἡρώων, τοῖσίν τε κοτέσσεται ὀβριμοπάτρη. βῆ δὲ κατʼ Οὐλύμποιο καρήνων ἀίξασα, στῆ δʼ Ἰθάκης ἐνὶ δήμῳ ἐπὶ προθύροις Ὀδυσῆος, οὐδοῦ ἐπʼ αὐλείου· παλάμῃ δʼ ἔχε χάλκεον ἔγχος,
 seeing in thought his noble father, should he perchance come from somewhere and make a scattering of the wooers in the palace, and himself win honor and rule over his own house. As he thought of these things, sitting among the wooers, he beheld Athena, and he went straight to the outer door; for in his heart he counted it shame	εἰδομένη ξείνῳ, Ταφίων ἡγήτορι Μέντῃ. εὗρε δʼ ἄρα μνηστῆρας ἀγήνορας. οἱ μὲν ἔπειτα πεσσοῖσι προπάροιθε θυράων θυμὸν ἔτερπον ἥμενοι ἐν ῥινοῖσι βοῶν, οὓς ἔκτανον αὐτοί· κήρυκες δʼ αὐτοῖσι καὶ ὀτρηροὶ θεράποντες
that a stranger should stand long at the gates. So, drawing near, he clasped her right hand, and took from her the spear of bronze; and he spoke, and addressed her with winged words: “Hail, stranger; in our house thou shalt find entertainment and then, when thou hast tasted food, thou shalt tell of what thou hast need.”	οἱ μὲν οἶνον ἔμισγον ἐνὶ κρητῆρσι καὶ ὕδωρ, οἱ δʼ αὖτε σπόγγοισι πολυτρήτοισι τραπέζας νίζον καὶ πρότιθεν, τοὶ δὲ κρέα πολλὰ δατεῦντο. τὴν δὲ πολὺ πρῶτος ἴδε Τηλέμαχος θεοειδής, ἧστο γὰρ ἐν μνηστῆρσι φίλον τετιημένος ἦτορ,
 So saying, he led the way, and Pallas Athena followed. And when they were within the lofty house, he bore the spear and set it against a tall pillar in a polished spear-rack, where were set many spears besides, even those of Odysseus of the steadfast heart.	ὀσσόμενος πατέρʼ ἐσθλὸν ἐνὶ φρεσίν, εἴ ποθεν ἐλθὼν μνηστήρων τῶν μὲν σκέδασιν κατὰ δώματα θείη, τιμὴν δʼ αὐτὸς ἔχοι καὶ δώμασιν οἷσιν ἀνάσσοι. τὰ φρονέων, μνηστῆρσι μεθήμενος, εἴσιδʼ Ἀθήνην. βῆ δʼ ἰθὺς προθύροιο, νεμεσσήθη δʼ ἐνὶ θυμῷ
Athena herself he led and seated on a chair, spreading a linen cloth beneath—a beautiful chair, richly-wrought, and below was a footstool for the feet. Beside it he placed for himself an inlaid seat, apart from the others, the wooers, lest the stranger, vexed by their din, should loathe the meal, seeing that he was in the company of overweening men;	ξεῖνον δηθὰ θύρῃσιν ἐφεστάμεν· ἐγγύθι δὲ στὰς χεῖρʼ ἕλε δεξιτερὴν καὶ ἐδέξατο χάλκεον ἔγχος, καί μιν φωνήσας ἔπεα πτερόεντα προσηύδα· χαῖρε, ξεῖνε, παρʼ ἄμμι φιλήσεαι· αὐτὰρ ἔπειτα δείπνου πασσάμενος μυθήσεαι ὅττεό σε χρή.
 and also that he might ask him about his father that was gone. Then a handmaid brought water for the hands in a fair pitcher of gold, and poured it over a silver basin for them to wash, and beside them drew up a polished table. And the grave housewife brought and set before them bread,	ὣς εἰπὼν ἡγεῖθʼ, ἡ δʼ ἕσπετο Παλλὰς Ἀθήνη. οἱ δʼ ὅτε δή ῥʼ ἔντοσθεν ἔσαν δόμου ὑψηλοῖο, ἔγχος μέν ῥʼ ἔστησε φέρων πρὸς κίονα μακρὴν δουροδόκης ἔντοσθεν ἐυξόου, ἔνθα περ ἄλλα ἔγχεʼ Ὀδυσσῆος ταλασίφρονος ἵστατο πολλά,
and therewith dainties in abundance, giving freely of her store. And a carver lifted up and placed before them platters of all manner of meats, and set by them golden goblets, while a herald ever walked to and fro pouring them wine. Then in came the proud wooers, and thereafter	αὐτὴν δʼ ἐς θρόνον εἷσεν ἄγων, ὑπὸ λῖτα πετάσσας, καλὸν δαιδάλεον· ὑπὸ δὲ θρῆνυς ποσὶν ἦεν. πὰρ δʼ αὐτὸς κλισμὸν θέτο ποικίλον, ἔκτοθεν ἄλλων μνηστήρων, μὴ ξεῖνος ἀνιηθεὶς ὀρυμαγδῷ δείπνῳ ἁδήσειεν, ὑπερφιάλοισι μετελθών,
 sat them down in rows on chairs and high seats. Heralds poured water over their hands, and maid-servants heaped by them bread in baskets, and youths filled the bowls brim full of drink; and they put forth their hands to the good cheer lying ready before them.	ἠδʼ ἵνα μιν περὶ πατρὸς ἀποιχομένοιο ἔροιτο. χέρνιβα δʼ ἀμφίπολος προχόῳ ἐπέχευε φέρουσα καλῇ χρυσείῃ, ὑπὲρ ἀργυρέοιο λέβητος, νίψασθαι· παρὰ δὲ ξεστὴν ἐτάνυσσε τράπεζαν. σῖτον δʼ αἰδοίη ταμίη παρέθηκε φέρουσα,
 Now after the wooers had put from them the desire of food and drink, their hearts turned to other things, to song and to dance; for these things are the crown of a feast. And a herald put the beautiful lyre in the hands of Phemius, who sang perforce among the wooers;	εἴδατα πόλλʼ ἐπιθεῖσα, χαριζομένη παρεόντων· δαιτρὸς δὲ κρειῶν πίνακας παρέθηκεν ἀείρας παντοίων, παρὰ δέ σφι τίθει χρύσεια κύπελλα· κῆρυξ δʼ αὐτοῖσιν θάμʼ ἐπῴχετο οἰνοχοεύων. ἐς δʼ ἦλθον μνηστῆρες ἀγήνορες. οἱ μὲν ἔπειτα
and he struck the chords in prelude to his sweet lay. But Telemachus spoke to flashing-eyed Athena, holding his head close, that the others might not hear: “Dear stranger, wilt thou be wroth with me for the word that I shall say? These men care for things like these, the lyre and song,	ἑξείης ἕζοντο κατὰ κλισμούς τε θρόνους τε, τοῖσι δὲ κήρυκες μὲν ὕδωρ ἐπὶ χεῖρας ἔχευαν, σῖτον δὲ δμῳαὶ παρενήνεον ἐν κανέοισιν, κοῦροι δὲ κρητῆρας ἐπεστέψαντο ποτοῖο. οἱ δʼ ἐπʼ ὀνείαθʼ ἑτοῖμα προκείμενα χεῖρας ἴαλλον.
full easily, seeing that without atonement they devour the livelihood of another, of a man whose white bones, it may be, rot in the rain as they lie upon the mainland, or the wave rolls them in the sea. Were they to see him returned to Ithaca , they would all pray to be swifter of foot,	αὐτὰρ ἐπεὶ πόσιος καὶ ἐδητύος ἐξ ἔρον ἕντο μνηστῆρες, τοῖσιν μὲν ἐνὶ φρεσὶν ἄλλα μεμήλει, μολπή τʼ ὀρχηστύς τε· τὰ γάρ τʼ ἀναθήματα δαιτός· κῆρυξ δʼ ἐν χερσὶν κίθαριν περικαλλέα θῆκεν Φημίῳ, ὅς ῥʼ ἤειδε παρὰ μνηστῆρσιν ἀνάγκῃ.
 rather than richer in gold and in raiment. But now he has thus perished by an evil doom, nor for us is there any comfort, no, not though any one of men upon the earth should say that he will come; gone is the day of his returning. But come, tell me this, and declare it truly.	ἦ τοι ὁ φορμίζων ἀνεβάλλετο καλὸν ἀείδειν. αὐτὰρ Τηλέμαχος προσέφη γλαυκῶπιν Ἀθήνην, ἄγχι σχὼν κεφαλήν, ἵνα μὴ πευθοίαθʼ οἱ ἄλλοι· ξεῖνε φίλʼ, ἦ καί μοι νεμεσήσεαι ὅττι κεν εἴπω; τούτοισιν μὲν ταῦτα μέλει, κίθαρις καὶ ἀοιδή,
Who art thou among men, and from whence? Where is thy city and where thy parents? On what manner of ship didst thou come, and how did sailors bring thee to Ithaca ? Who did they declare themselves to be? For nowise, methinks, didst thou come hither on foot. And tell me this also truly, that I may know full well,	ῥεῖʼ, ἐπεὶ ἀλλότριον βίοτον νήποινον ἔδουσιν, ἀνέρος, οὗ δή που λεύκʼ ὀστέα πύθεται ὄμβρῳ κείμενʼ ἐπʼ ἠπείρου, ἢ εἰν ἁλὶ κῦμα κυλίνδει. εἰ κεῖνόν γʼ Ἰθάκηνδε ἰδοίατο νοστήσαντα, πάντες κʼ ἀρησαίατʼ ἐλαφρότεροι πόδας εἶναι
whether this is thy first coming hither, or whether thou art indeed a friend of my father's house. For many were the men who came to our house as strangers, since he, too, had gone to and fro among men.” Then the goddess, flashing-eyed Athena, answered him: “Therefore of a truth will I frankly tell thee all.	ἢ ἀφνειότεροι χρυσοῖό τε ἐσθῆτός τε. νῦν δʼ ὁ μὲν ὣς ἀπόλωλε κακὸν μόρον, οὐδέ τις ἡμῖν θαλπωρή, εἴ πέρ τις ἐπιχθονίων ἀνθρώπων φῇσιν ἐλεύσεσθαι· τοῦ δʼ ὤλετο νόστιμον ἦμαρ. ἀλλʼ ἄγε μοι τόδε εἰπὲ καὶ ἀτρεκέως κατάλεξον·
 I declare that I am Mentes, the son of wise Anchialus, and I am lord over the oar-loving Taphians. And now have I put in here, as thou seest, with ship and crew, while sailing over the wine-dark sea to men of strange speech, on my way to Temese for copper; and I bear with me shining iron.	τίς πόθεν εἰς ἀνδρῶν; πόθι τοι πόλις ἠδὲ τοκῆες; ὁπποίης τʼ ἐπὶ νηὸς ἀφίκεο· πῶς δέ σε ναῦται ἤγαγον εἰς Ἰθάκην; τίνες ἔμμεναι εὐχετόωντο; οὐ μὲν γάρ τί σε πεζὸν ὀίομαι ἐνθάδʼ ἱκέσθαι. καί μοι τοῦτʼ ἀγόρευσον ἐτήτυμον, ὄφρʼ ἐὺ εἰδῶ,
 My ship lies yonder beside the fields away from the city, in the harbor of Rheithron, under woody Neion. Friends of one another do we declare ourselves to be, even as our fathers were, friends from of old. Nay, if thou wilt, go and ask the old warrior Laertes, who, they say,	ἠὲ νέον μεθέπεις ἦ καὶ πατρώιός ἐσσι ξεῖνος, ἐπεὶ πολλοὶ ἴσαν ἀνέρες ἡμέτερον δῶ ἄλλοι, ἐπεὶ καὶ κεῖνος ἐπίστροφος ἦν ἀνθρώπων. τὸν δʼ αὖτε προσέειπε θεά, γλαυκῶπις Ἀθήνη· τοιγὰρ ἐγώ τοι ταῦτα μάλʼ ἀτρεκέως ἀγορεύσω.
 comes no more to the city, but afar in the fields suffers woes attended by an aged woman as his handmaid, who sets before him food and drink, after weariness has laid hold of his limbs, as he creeps along the slope of his vineyard plot. And now am I come, for of a truth men said that he,	Μέντης Ἀγχιάλοιο δαΐφρονος εὔχομαι εἶναι υἱός, ἀτὰρ Ταφίοισι φιληρέτμοισιν ἀνάσσω. νῦν δʼ ὧδε ξὺν νηὶ κατήλυθον ἠδʼ ἑτάροισιν πλέων ἐπὶ οἴνοπα πόντον ἐπʼ ἀλλοθρόους ἀνθρώπους, ἐς Τεμέσην μετὰ χαλκόν, ἄγω δʼ αἴθωνα σίδηρον.
 thy father, was among his people; but lo, the gods are thwarting him of his return. For not yet has goodly Odysseus perished on the earth, but still, I ween, he lives and is held back on the broad sea in a sea-girt isle, and cruel men keep him, a savage folk, that constrain him, haply sore against his will.	νηῦς δέ μοι ἥδʼ ἕστηκεν ἐπʼ ἀγροῦ νόσφι πόληος, ἐν λιμένι Ῥείθρῳ ὑπὸ Νηίῳ ὑλήεντι. ξεῖνοι δʼ ἀλλήλων πατρώιοι εὐχόμεθʼ εἶναι ἐξ ἀρχῆς, εἴ πέρ τε γέροντʼ εἴρηαι ἐπελθὼν Λαέρτην ἥρωα, τὸν οὐκέτι φασὶ πόλινδε
 Nay, I will now prophesy to thee, as the immortals put it in my heart, and as I think it shall be brought to pass, though I am in no wise a soothsayer, nor one versed in the signs of birds. Not much longer shall he be absent from his dear native land, no, not though bonds of iron hold him.	ἔρχεσθʼ, ἀλλʼ ἀπάνευθεν ἐπʼ ἀγροῦ πήματα πάσχειν γρηὶ σὺν ἀμφιπόλῳ, ἥ οἱ βρῶσίν τε πόσιν τε παρτιθεῖ, εὖτʼ ἄν μιν κάματος κατὰ γυῖα λάβῃσιν ἑρπύζοντʼ ἀνὰ γουνὸν ἀλωῆς οἰνοπέδοιο. νῦν δʼ ἦλθον· δὴ γάρ μιν ἔφαντʼ ἐπιδήμιον εἶναι,
 He will contrive a way to return, for he is a man of many devices. But come, tell me this and declare it truly, whether indeed, tall as thou art, thou art the son of Odysseus himself. Wondrously like his are thy head and beautiful eyes; for full often did we consort with one another	σὸν πατέρʼ· ἀλλά νυ τόν γε θεοὶ βλάπτουσι κελεύθου. οὐ γάρ πω τέθνηκεν ἐπὶ χθονὶ δῖος Ὀδυσσεύς, ἀλλʼ ἔτι που ζωὸς κατερύκεται εὐρέι πόντῳ νήσῳ ἐν ἀμφιρύτῃ, χαλεποὶ δέ μιν ἄνδρες ἔχουσιν ἄγριοι, οἵ που κεῖνον ἐρυκανόωσʼ ἀέκοντα.
before he embarked for the land of Troy , whither others, too, the bravest of the Argives, went in their hollow ships. But since that day neither have I seen Odysseus, nor he me.” Then wise Telemachus answered her: “Therefore of a truth, stranger, will I frankly tell thee all.	αὐτὰρ νῦν τοι ἐγὼ μαντεύσομαι, ὡς ἐνὶ θυμῷ ἀθάνατοι βάλλουσι καὶ ὡς τελέεσθαι ὀίω, οὔτε τι μάντις ἐὼν οὔτʼ οἰωνῶν σάφα εἰδώς. οὔ τοι ἔτι δηρόν γε φίλης ἀπὸ πατρίδος αἴης ἔσσεται, οὐδʼ εἴ πέρ τε σιδήρεα δέσματʼ ἔχῃσιν·
 My mother says that I am his child; but I know not, for never yet did any man of himself know his own parentage. Ah, would that I had been the son of some blest man, whom old age overtook among his own possessions. But now of him who was the most ill-fated of mortal men	φράσσεται ὥς κε νέηται, ἐπεὶ πολυμήχανός ἐστιν. ἀλλʼ ἄγε μοι τόδε εἰπὲ καὶ ἀτρεκέως κατάλεξον, εἰ δὴ ἐξ αὐτοῖο τόσος πάϊς εἰς Ὀδυσῆος. αἰνῶς μὲν κεφαλήν τε καὶ ὄμματα καλὰ ἔοικας κείνῳ, ἐπεὶ θαμὰ τοῖον ἐμισγόμεθʼ ἀλλήλοισιν,
they say that I am sprung, since thou askest me of this.” Then the goddess, flashing-eyed Athena, answered him: “Surely, then, no nameless lineage have the gods appointed for thee in time to come, seeing that Penelope bore thee such as thou art. But come, tell me this and declare it truly.	πρίν γε τὸν ἐς Τροίην ἀναβήμεναι, ἔνθα περ ἄλλοι Ἀργείων οἱ ἄριστοι ἔβαν κοίλῃς ἐνὶ νηυσίν· ἐκ τοῦ δʼ οὔτʼ Ὀδυσῆα ἐγὼν ἴδον οὔτʼ ἔμʼ ἐκεῖνος. τὴν δʼ αὖ Τηλέμαχος πεπνυμένος ἀντίον ηὔδα· τοιγὰρ ἐγώ τοι, ξεῖνε, μάλʼ ἀτρεκέως ἀγορεύσω.
